Puntuacion;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;PP5;PP6;PP7;PP8
10 ;3;3;2;1;2;1;1;1;1;1;71;1;3;4
8 ;2;3;2;1;2;1;1;3;1;1;65;2;2;2
9 ;1;3;2;1;2;1;1;1;1;1;52;2;2;2
9 ;3;3;3;1;2;1;1;1;1;1;64;2;3;5
8 ;3;3;3;1;2;1;1;3;1;1;75;1;3;5
7 ;2;3;2;1;1;1;1;1;3;1;41;1;3;2
7 ;2;3;3;1;2;1;3;1;1;1;68;1;2;5
10 ;3;3;2;1;2;1;1;1;1;1;88;1;3;5
9 ;3;2;2;1;2;1;1;1;1;1;70;1;3;5
9 ;3;3;3;1;2;1;1;1;1;1;63;3;2;5
8 ;3;3;3;1;2;1;1;2;1;1;74;1;3;2
3 ;2;1;2;2;1;3;1;2;2;1;72;2;1;2
9 ;3;3;2;1;2;1;1;2;1;1;64;1;1;2
7 ;2;3;2;1;2;1;2;1;2;1;70;1;1;5
6 ;3;3;2;2;3;1;1;2;2;1;58;1;2;2
6 ;1;2;2;2;2;1;1;2;1;1;62;2;1;2
7 ;3;3;2;2;2;2;1;2;1;1;46;1;1;2
8 ;1;3;2;1;3;1;1;1;1;1;66;1;1;1
5 ;2;3;2;2;2;3;3;2;1;1;68;1;2;2
8 ;2;3;2;1;2;1;1;2;1;1;42;1;2;5
8 ;2;3;2;1;2;1;1;2;1;1;58;2;2;2
7 ;2;3;2;2;2;1;1;3;1;1;52;1;2;2
10 ;3;3;2;1;2;1;1;1;1;1;61;2;2;2
7 ;1;3;2;3;1;1;1;1;1;1;62;1;1;3
7 ;3;3;3;1;3;1;1;2;1;1;67;1;3;5
7 ;1;3;2;2;1;1;1;1;1;1;48;2;2;1
7 ;3;3;3;1;3;1;1;2;1;1;59;1;2;2
6 ;2;3;3;1;2;2;1;2;1;1;71;1;2;2
8 ;3;3;3;1;2;1;1;3;1;1;80;1;3;2
